Amino_Acid_Names 	 Positive_AA_Disordered_% 	 Negative_AA_Disordered_% 	 Length_Disordered 	 Positive_AA_Seq_% 	 Negative_AA_Seq_% 
E3WRL8_ANODA(E3WRL8)	28.749999999999996	37.5	80	3.2670454545454546	4.261363636363636
Q6AZV1_XENLA(Q6AZV1)	26.506024096385545	36.144578313253014	83	3.0428769017980635	4.149377593360995
G3W1D6_SARHA(G3W1D6)	27.586206896551722	37.93103448275862	87	3.278688524590164	4.508196721311475
Q3TKG0_MOUSE(Q3TKG0)	26.96629213483146	40.44943820224719	89	4.301075268817205	6.451612903225806
H2NMA4_PONAB(H2NMA4)	26.96629213483146	40.44943820224719	89	3.761755485893417	5.6426332288401255
E7KSV8_YEASL(E7KSV8)	25.97402597402597	36.36363636363637	77	2.8328611898017	3.9660056657223794
H0V1W9_CAVPO(H0V1W9)	14.035087719298245	8.771929824561402	57	1.1477761836441895	0.7173601147776184
H0V1W9_CAVPO(H0V1W9)	14.035087719298245	8.771929824561402	57	1.1477761836441895	0.7173601147776184
Q6CQZ9_KLULA(Q6CQZ9)	23.809523809523807	39.285714285714285	84	2.801120448179272	4.621848739495799
H2MT46_ORYLA(H2MT46)	28.169014084507044	32.3943661971831	71	2.793296089385475	3.212290502793296
B1NJ28_AEQIR(B1NJ28)	26.744186046511626	43.02325581395349	86	3.1724137931034484	5.103448275862069
A7L9T9_CRAGI(A7L9T9)	28.57142857142857	41.66666666666667	84	3.3426183844011144	4.874651810584958
Q5BL42_XENTR(Q5BL42)	26.190476190476193	36.904761904761905	84	3.0386740331491713	4.281767955801105
D2GZA5_AILME(D2GZA5)	24.705882352941178	37.64705882352941	85	2.896551724137931	4.413793103448276
I1CKE5_RHIO9(I1CKE5)	21.73913043478261	34.78260869565217	69	2.1520803443328553	3.443328550932568
H9IBX0_ATTCE(H9IBX0)	28.57142857142857	40.476190476190474	84	3.116883116883117	4.415584415584416
E7KJ78_YEASA(E7KJ78)	27.160493827160494	37.03703703703704	81	3.0985915492957745	4.225352112676056
E7NLP3_YEASO(E7NLP3)	25.97402597402597	36.36363636363637	77	3.1948881789137378	4.472843450479233
Q6XE36_9EUKA(Q6XE36)	23.943661971830984	39.436619718309856	71	3.0852994555353903	5.081669691470054
I1BGT7_RHIO9(I1BGT7)	22.058823529411764	32.35294117647059	68	2.1459227467811157	3.1473533619456364
Q6FLU9_CANGA(Q6FLU9)	26.923076923076923	35.8974358974359	78	2.974504249291785	3.9660056657223794
Q3HS46_9NEOP(Q3HS46)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
E0XJK3_PAPME(E0XJK3)	27.848101265822784	37.9746835443038	79	3.064066852367688	4.178272980501393
G8HT69_9DIPT(G8HT69)	23.809523809523807	34.523809523809526	84	2.7777777777777777	4.027777777777778
H6U7H3_CYDPO(H6U7H3)	27.848101265822784	37.9746835443038	79	3.0683403068340307	4.184100418410042
Q6BSA2_DEBHA(Q6BSA2)	22.666666666666664	36.0	75	2.4079320113314444	3.824362606232295
B6JYK3_SCHJY(B6JYK3)	23.376623376623375	33.76623376623377	77	2.5495750708215295	3.6827195467422094
F6ZJA5_MONDO(F6ZJA5)	26.08695652173913	8.695652173913043	23	0.9009009009009009	0.3003003003003003
F6ZJA5_MONDO(F6ZJA5)	26.08695652173913	8.695652173913043	23	0.9009009009009009	0.3003003003003003
Q6USB9_9BIVA(Q6USB9)	27.058823529411764	41.17647058823529	85	3.1636863823933976	4.814305364511692
H0H1R9_9SACH(H0H1R9)	24.390243902439025	37.80487804878049	82	2.8129395218002813	4.360056258790436
H2U3M5_TAKRU(H2U3M5)	25.581395348837212	38.372093023255815	86	3.021978021978022	4.532967032967033
A6ZMP7_YEAS7(A6ZMP7)	25.97402597402597	36.36363636363637	77	2.8328611898017	3.9660056657223794
F4WV25_ACREC(F4WV25)	28.57142857142857	40.476190476190474	84	3.310344827586207	4.689655172413794
Q5I5Q5_9MUSC(Q5I5Q5)	25.0	36.25	80	2.797202797202797	4.055944055944056
C5MG15_CANTT(C5MG15)	22.78481012658228	35.44303797468354	79	2.528089887640449	3.932584269662921
E3UVB7_HELAM(E3UVB7)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
C8ZID9_YEAS8(C8ZID9)	27.160493827160494	37.03703703703704	81	3.0985915492957745	4.225352112676056
G1LZE2_AILME(G1LZE2)	24.705882352941178	37.64705882352941	85	2.8301886792452833	4.31266846361186
Q5R7X3_PONAB(Q5R7X3)	26.96629213483146	39.325842696629216	89	3.2742155525238745	4.774897680763983
A8DR93_SHEEP(A8DR93)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
C7G498_COTJA(C7G498)	25.882352941176475	36.470588235294116	85	3.0344827586206895	4.275862068965517
E7M0X0_YEASV(E7M0X0)	27.160493827160494	37.03703703703704	81	3.0985915492957745	4.225352112676056
G8BKN6_CANPC(G8BKN6)	21.794871794871796	35.8974358974359	78	2.390998593530239	3.938115330520394
H0X5W3_OTOGA(H0X5W3)	27.058823529411764	37.64705882352941	85	3.1724137931034484	4.413793103448276
HS90A_BOVIN(Q76LV2)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
E2B7J9_HARSA(E2B7J9)	26.506024096385545	38.55421686746988	83	3.0386740331491713	4.41988950276243
HSP83_ANOGA(Q7PT10)	28.205128205128204	37.17948717948718	78	3.0513176144244105	4.0221914008321775
G2HHN5_PANTR(G2HHN5)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
E2A3F2_CAMFO(E2A3F2)	26.82926829268293	37.80487804878049	82	3.0428769017980635	4.287690179806362
Q16FA5_AEDAE(Q16FA5)	28.205128205128204	37.17948717948718	78	3.072625698324022	4.050279329608938
F7GST0_MACMU(F7GST0)	25.882352941176475	37.64705882352941	85	2.9931972789115644	4.353741496598639
E9RF72_PENJP(E9RF72)	27.586206896551722	41.37931034482759	87	3.314917127071823	4.972375690607735
Q86U12_HUMAN(Q86U12)	27.27272727272727	39.77272727272727	88	5.797101449275362	8.454106280193237
F7D3G4_XENTR(F7D3G4)	20.0	30.0	50	1.4492753623188406	2.1739130434782608
F7D3G4_XENTR(F7D3G4)	20.0	30.0	50	1.4492753623188406	2.1739130434782608
H0GP98_9SACH(H0GP98)	27.160493827160494	37.03703703703704	81	3.0985915492957745	4.225352112676056
E7QA30_YEASB(E7QA30)	27.160493827160494	37.03703703703704	81	3.0985915492957745	4.225352112676056
Q2N193_PLADU(Q2N193)	28.04878048780488	42.68292682926829	82	4.006968641114982	6.097560975609756
A8WE29_9NEOP(A8WE29)	29.11392405063291	39.24050632911392	79	3.1988873435326846	4.3115438108484
Q5I5X0_HOMAM(Q5I5X0)	27.160493827160494	40.74074074074074	81	6.528189910979229	9.792284866468842
C5E4Q6_ZYGRC(C5E4Q6)	26.82926829268293	37.80487804878049	82	3.0855539971949506	4.3478260869565215
F4YZ92_CRAHO(F4YZ92)	28.57142857142857	41.66666666666667	84	3.319502074688797	4.840940525587829
F6X063_ORNAN(F6X063)	18.75	16.666666666666664	48	1.490066225165563	1.3245033112582782
F6X063_ORNAN(F6X063)	18.75	16.666666666666664	48	1.490066225165563	1.3245033112582782
F6X063_ORNAN(F6X063)	18.75	16.666666666666664	48	1.490066225165563	1.3245033112582782
G2WNU6_YEASK(G2WNU6)	27.160493827160494	37.03703703703704	81	3.0985915492957745	4.225352112676056
G1DFU5_CAPHI(G1DFU5)	23.52941176470588	36.470588235294116	85	2.7586206896551726	4.275862068965517
Q71LX8_MOUSE(Q71LX8)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
HSP82_ASHGO(Q8J2M3)	25.333333333333336	36.0	75	2.6950354609929077	3.829787234042553
Q80Y52_MOUSE(Q80Y52)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
G1PMK8_MYOLU(G1PMK8)	26.96629213483146	40.44943820224719	89	3.3472803347280333	5.02092050209205
HSP90_CANAL(P46598)	24.0	36.0	75	2.5423728813559325	3.8135593220338984
HS90A_HORSE(Q9GKX7)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
A7XGM3_METEN(A7XGM3)	26.506024096385545	40.963855421686745	83	3.0513176144244105	4.715672676837725
H9KBN1_APIME(H9KBN1)	25.925925925925924	37.03703703703704	81	2.920723226703755	4.172461752433936
G4W8Y9_KRYMA(G4W8Y9)	28.26086956521739	40.21739130434783	92	3.547066848567531	5.0477489768076405
F1KU36_ASCSU(F1KU36)	26.96629213483146	37.07865168539326	89	3.915171288743882	5.383360522022838
HS90A_HUMAN(P07900)	27.27272727272727	39.77272727272727	88	3.2742155525238745	4.774897680763983
G1S1H7_NOMLE(G1S1H7)	26.436781609195403	40.229885057471265	87	3.19001386962552	4.854368932038835
B8PXL3_9MAXI(B8PXL3)	27.906976744186046	38.372093023255815	86	3.32409972299169	4.570637119113574
H3AQ37_LATCH(H3AQ37)	26.436781609195403	36.7816091954023	87	3.1636863823933976	4.401650618982118
C1JYH6_APIME(C1JYH6)	26.190476190476193	36.904761904761905	84	3.0344827586206895	4.275862068965517
E0XJK5_SPOLT(E0XJK5)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
H0ZRE5_TAEGU(H0ZRE5)	25.0	40.476190476190474	84	2.8846153846153846	4.670329670329671
E2RLS3_CANFA(E2RLS3)	8.333333333333332	10.0	60	0.7396449704142012	0.8875739644970414
E2RLS3_CANFA(E2RLS3)	8.333333333333332	10.0	60	0.7396449704142012	0.8875739644970414
E2RLS3_CANFA(E2RLS3)	8.333333333333332	10.0	60	0.7396449704142012	0.8875739644970414
Q16PB5_AEDAE(Q16PB5)	28.205128205128204	37.17948717948718	78	3.072625698324022	4.050279329608938
H0UXJ8_CAVPO(H0UXJ8)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
F1PGY1_CANFA(F1PGY1)	20.51282051282051	28.205128205128204	39	1.3937282229965158	1.9163763066202089
F1PGY1_CANFA(F1PGY1)	20.51282051282051	28.205128205128204	39	1.3937282229965158	1.9163763066202089
B6C896_9EUKA(B6C896)	25.333333333333336	37.333333333333336	75	3.966597077244259	5.845511482254697
E7KV93_YEASL(E7KV93)	27.160493827160494	37.03703703703704	81	3.492063492063492	4.761904761904762
G1NEA9_MELGA(G1NEA9)	25.581395348837212	37.2093023255814	86	3.0303030303030303	4.40771349862259
F4NAS1_BOSIN(F4NAS1)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
I1CDI9_RHIO9(I1CDI9)	21.73913043478261	34.78260869565217	69	2.1520803443328553	3.443328550932568
H8Y0W6_9BILA(H8Y0W6)	30.0	40.0	80	3.3333333333333335	4.444444444444445
F6X071_ORNAN(F6X071)	20.0	12.307692307692308	65	1.8309859154929577	1.1267605633802817
F6X071_ORNAN(F6X071)	20.0	12.307692307692308	65	1.8309859154929577	1.1267605633802817
Q7YZI7_9METZ(Q7YZI7)	23.75	37.5	80	3.315881326352531	5.2356020942408374
A7RJ66_NEMVE(A7RJ66)	26.506024096385545	40.963855421686745	83	3.021978021978022	4.670329670329671
G3TVD7_LOXAF(G3TVD7)	27.380952380952383	36.904761904761905	84	3.1767955801104977	4.281767955801105
H2ZTU7_LATCH(H2ZTU7)	27.906976744186046	32.55813953488372	86	3.283173734610123	3.830369357045144
C0KTP7_DUGJA(C0KTP7)	28.915662650602407	37.34939759036144	83	3.35195530726257	4.329608938547486
E7QJF5_YEASZ(E7QJF5)	25.97402597402597	36.36363636363637	77	2.8328611898017	3.9660056657223794
G1T8Q6_RABIT(G1T8Q6)	9.523809523809524	11.11111111111111	63	0.8534850640113799	0.995732574679943
G1T8Q6_RABIT(G1T8Q6)	9.523809523809524	11.11111111111111	63	0.8534850640113799	0.995732574679943
Q0KKB5_MAMBR(Q0KKB5)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
C4MX30_ERISI(C4MX30)	26.82926829268293	40.243902439024396	82	3.05980528511822	4.58970792767733
E0XJK4_OSTFU(E0XJK4)	29.11392405063291	39.24050632911392	79	3.2078103207810322	4.323570432357044
E1AC51_POLVA(E1AC51)	25.0	35.0	80	2.801120448179272	3.9215686274509802
H8Y0Y8_9EUCA(H8Y0Y8)	28.235294117647058	41.17647058823529	85	3.32409972299169	4.847645429362881
HSC82_YEAST(P15108)	25.97402597402597	36.36363636363637	77	2.8328611898017	3.9660056657223794
Q3TKA2_MOUSE(Q3TKA2)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
E3WSW1_ANODA(E3WSW1)	28.749999999999996	37.5	80	3.1724137931034484	4.137931034482759
C1KG50_9BILA(C1KG50)	32.53012048192771	38.55421686746988	83	3.7292817679558015	4.41988950276243
Q9P8I3_CANTR(Q9P8I3)	21.518987341772153	35.44303797468354	79	2.460202604920405	4.052098408104197
A6ZW16_YEAS7(A6ZW16)	27.160493827160494	37.03703703703704	81	3.0985915492957745	4.225352112676056
F7A8V6_XENTR(F7A8V6)	27.710843373493976	33.734939759036145	83	3.1724137931034484	3.8620689655172415
Q6QR01_9EUCA(Q6QR01)	25.609756097560975	41.46341463414634	82	2.9247910863509747	4.735376044568245
HS90B_MACFA(Q4R4T5)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
G3WYP8_SARHA(G3WYP8)	26.190476190476193	36.904761904761905	84	3.1654676258992804	4.460431654676259
G3WYP8_SARHA(G3WYP8)	26.190476190476193	36.904761904761905	84	3.1654676258992804	4.460431654676259
G7Y2I9_CLOSI(G7Y2I9)	26.923076923076923	38.46153846153847	78	2.937062937062937	4.195804195804196
C5HDF6_PORTR(C5HDF6)	23.809523809523807	34.523809523809526	84	2.785515320334262	4.03899721448468
F4MJM2_BACOL(F4MJM2)	25.301204819277107	37.34939759036144	83	3.1484257871064467	4.6476761619190405
B3U517_9HYME(B3U517)	27.710843373493976	37.34939759036144	83	3.1680440771349865	4.2699724517906334
E0XJK9_HELAU(E0XJK9)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
A0PJ91_MOUSE(A0PJ91)	26.96629213483146	40.44943820224719	89	4.240282685512367	6.36042402826855
E0XN33_SPOLT(E0XN33)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
H3AQ38_LATCH(H3AQ38)	26.436781609195403	36.7816091954023	87	3.1292517006802725	4.353741496598639
Q3TJU7_MOUSE(Q3TJU7)	26.96629213483146	40.44943820224719	89	4.308797127468582	6.463195691202872
E5DHS2_MACNP(E5DHS2)	28.26086956521739	41.30434782608695	92	3.547066848567531	5.184174624829468
A8D4R5_9HYME(A8D4R5)	27.058823529411764	37.64705882352941	85	3.1767955801104977	4.41988950276243
E7NNL2_YEASO(E7NNL2)	26.82926829268293	37.80487804878049	82	4.444444444444445	6.262626262626263
G1P4A8_MYOLU(G1P4A8)	27.058823529411764	37.64705882352941	85	3.1680440771349865	4.40771349862259
C8CCR2_HELZE(C8CCR2)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
C1KG49_ASCSU(C1KG49)	32.53012048192771	38.55421686746988	83	3.739612188365651	4.43213296398892
A6N8F4_HALAI(A6N8F4)	29.069767441860467	43.02325581395349	86	3.4293552812071333	5.075445816186557
E0XJK7_PSESE(E0XJK7)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
G8Y9S1_PICSO(G8Y9S1)	25.97402597402597	36.36363636363637	77	2.8208744710860367	3.9492242595204514
HS90A_PANTR(A5A6K9)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
H2RD80_PANTR(H2RD80)	26.96629213483146	39.325842696629216	89	3.2697547683923704	4.768392370572207
C4YTQ8_CANAW(C4YTQ8)	24.0	36.0	75	2.5423728813559325	3.8135593220338984
Q9GQG6_SPOFR(Q9GQG6)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
Q91290_PLEWA(Q91290)	26.96629213483146	37.07865168539326	89	4.41988950276243	6.077348066298343
HS90B_HORSE(Q9GKX8)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
HS90B_RAT(P34058)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
H8XA31_9ASCO(H8XA31)	22.07792207792208	35.064935064935064	77	2.3943661971830985	3.8028169014084505
B5VPV3_YEAS6(B5VPV3)	25.97402597402597	36.36363636363637	77	3.210272873194221	4.49438202247191
A0JMA1_XENTR(A0JMA1)	27.710843373493976	33.734939759036145	83	3.2167832167832167	3.9160839160839163
B3LKJ2_YEAS1(B3LKJ2)	27.160493827160494	37.03703703703704	81	3.0985915492957745	4.225352112676056
G3R0K7_GORGO(G3R0K7)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
HS90A_MACFA(Q4R4P1)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
F1RQU2_PIG(F1RQU2)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
HS90A_RABIT(P30946)	18.75	37.5	64	1.7266187050359711	3.4532374100719423
E2JE19_9BIVA(E2JE19)	30.58823529411765	40.0	85	3.576341127922971	4.676753782668501
B8YDH5_SPOEX(B8YDH5)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
Q5WQZ6_OPICA(Q5WQZ6)	27.500000000000004	38.75	80	3.05980528511822	4.3115438108484
H9B0B8_9HYME(H9B0B8)	28.915662650602407	39.75903614457831	83	3.32409972299169	4.570637119113574
G3UBT6_LOXAF(G3UBT6)	26.96629213483146	39.325842696629216	89	3.2564450474898234	4.74898236092266
H3B357_LATCH(H3B357)	28.915662650602407	37.34939759036144	83	3.3057851239669422	4.2699724517906334
HS90B_BOVIN(Q76LV1)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
Q27308_ANOAL(Q27308)	28.749999999999996	37.5	80	3.1855955678670362	4.1551246537396125
A4K535_BUFBG(A4K535)	27.058823529411764	38.82352941176471	85	3.2624113475177303	4.680851063829787
Q3TKB9_MOUSE(Q3TKB9)	26.96629213483146	40.44943820224719	89	4.308797127468582	6.463195691202872
